지역,2018,2019,2020,2021
전국,176088,178554,178372,204880
수도권,189101,192623,192827,218613
지방,121651,119700,117902,148125
서울,221357,227170,228858,252213
부산,135070,132706,130577,161964
대구,91036,89272,89051,134205
인천,105154,105097,103389,147044
광주,63291,64064,63583,96030
대전,108002,108001,106707,110833
울산,108377,103662,100343,155892
세종,104936,101808,101008,96914
경기,168228,169538,168189,204211
