지역,2018,2019,2020,2021
전국,615,607,604,606
수도권,658,650,648,651
지방,431,425,420,418
서울,728,723,722,722
부산,444,436,434,434
대구,432,430,428,425
인천,438,439,439,439
광주,315,314,301,283
대전,439,435,419,419
울산,467,452,431,430
세종,333,342,342,342
경기,625,610,606,612
