지역,2018,2019,2020,2021
전국,126672,126840,127837,158777
수도권,139407,139838,141201,169984
지방,73396,72467,71934,112459
서울,160714,161966,164189,194292
부산,76694,76129,75824,119516
대구,65354,65139,65467,108815
인천,78859,79791,80155,125890
광주,41342,41575,40898,79626
대전,73623,70699,69391,88003
울산,83111,79633,75874,124814
세종,75812,74769,75704,87148
경기,127171,126266,126695,156907
